mp-7, S
mp-20761, LaCoGe
mp-20765, NpSi
mp-20766, CeCuGe
mp-20768, ZnFeSb
mp-20771, Eu(ZnGe)2
mp-20774, NdCuSn
mp-20785, Nd(FeGe)2
mp-20787, FeB
mp-20789, SmInRh
mp-20792, Ca2InPd2
mp-20793, Ga2FeS4
mp-20800, ZrIn2
mp-20815, SnPbF4
mp-20816, Gd2AlGe2
mp-20824, Sr2CaTlCu2O7
mp-20826, CuTe
mp-20834, CeSnPt
mp-20835, CeSnIr
mp-20836, Nd(NiAs)2
mp-20838, CaIn4Ir
mp-20841, Ba2CaIrO6
mp-20843, Sr2InPd2
mp-20844, Dy3(CuSn)4
mp-20875, TbInRh
mp-20878, PbO
mp-20886, CeZnSn
mp-20887, VSn2
mp-20890, Eu(FeAs)2
mp-20892, ZrFeP
mp-20896, TmInNi4
mp-20905, OsS2
mp-20908, Ce(BC)2
mp-20910, LaGe3Ir
mp-20914, NdIn2Ir
mp-20917, U2Fe3Ge
mp-20923, EuSbPt
mp-20928, Sb2Ru
mp-20930, InCuO2
mp-20932, NbNiP
mp-20936, Ba2PrCu3O7
mp-20959, Ce2InGe2
mp-20972, YbIn5Co
mp-20975, CeIn5Ir
mp-20976, Eu(BIr)2
mp-20982, K3Cu2F7
mp-20987, YZnSn
mp-20998, LiCaPb
mp-21001, Y(GeRu)2
mp-21002, LaIn2Rh
mp-21006, Ce(NiAs)2
mp-21007, SmSnPt
mp-21010, PrSnRu
mp-21024, SrIn2Pd
mp-21027, CaIn2Pt
mp-21032, BaIn2Pt
mp-21033, La(GePd)2
mp-21048, CrP
mp-21051, EuInPt
mp-21052, Tb2InPd2
mp-21054, PrSnPd
mp-21061, GdSbPd
mp-21062, YbMnGe
mp-21065, SiP2
mp-21068, CaIn2
mp-21075, HfC
mp-21077, LaNiGe2
mp-21096, CaMnSi
mp-21113, Y(FeGe)2
mp-21116, CeCoGe3
mp-21119, CeNiSn
mp-21124, SrIn4Pt
mp-21136, Ce3Ni2B2N3
mp-21139, Mn2SnS4
mp-21141, Fe2CuGe2
mp-21154, TbMnGe
mp-21161, SmSnPt
mp-21167, Ni2P
mp-21187, CaIn
mp-21188, CeNi
mp-21190, PbSO3
mp-21194, NdGeRu
mp-21195, Gd(Al2Cr)4
mp-21198, DyAgSn
mp-21199, Na3(GePt)4
mp-21205, Tm2InPd2
mp-21209, Cu3(AsO4)2
mp-21218, La(GePt)2
mp-21220, CaIn4Rh
mp-21223, YbIn2Ni
mp-21232, TmInRh
mp-21236, BaPPt
mp-21242, LiYbPb
mp-21246, Ba2Pb
mp-21248, NbSiIr
mp-21252, GdCo3B2
mp-21255, FeGe
mp-21258, EuIn2Pd
mp-21268, SiAs2
mp-21271, PrMnGe
mp-21278, CeIn2Ir
mp-21280, BaPbO3
mp-21283, Cs2PbO3
mp-21288, La2InGe2
mp-21290, HoInPt
mp-21293, Li3In2
mp-21297, LiSn4Ru
mp-21316, TaSiIr
mp-21336, TaFeP
mp-21340, HfGePt
mp-21343, CeB6
mp-21344, CuGeO3
mp-21345, LaGe
mp-21346, U3Si2
mp-21347, CoBMo
mp-21348, Ba2EuTaO6
mp-21350, Pr2MgGe2
mp-21352, NaIn2Au
mp-21354, EuCuSF
mp-21356, EuCuSeF
mp-21357, U2Fe2Sn
mp-21364, HoCuAs2
mp-21367, LaIn2Pd
mp-21371, VCoSi
mp-21372, CePRuO
mp-21375, CeMgGa
mp-21379, SmInIr
mp-21382, Dy2AlGe2
mp-21387, CeInPd
mp-21388, U(CuGe)2
mp-21399, CeMnGe
mp-21402, PrCr2Si2C
mp-21407, EuAl9Co2
mp-21413, RbMnP
mp-21420, Nd(MnGe)2
mp-21433, TbTiGe
mp-21436, GdCuSn
mp-21439, YbMnSi
mp-21441, CeSiIr
mp-21443, Ce2Pd2Pb
mp-21445, Ba3In2O5F2
mp-21446, BaPb3
mp-21449, NbCoP
mp-21450, Nd2InPd2
mp-21451, Ba2SmCu3O7
mp-21453, PrSnPt
mp-21456, SmMgIn
mp-21460, CeIn2Pd
mp-21474, Eu(MnP)2
mp-21477, RbIn4
mp-21478, U(CuP)2
mp-21487, EuIn2Rh
mp-21490, CeSnPd
mp-21499, YbInPd
mp-21503, YMgIn
mp-21504, V4GaSe8
mp-21508, Y2Pd2Pb
mp-21509, LaMgGa
mp-21849, Eu(SiIr)2
mp-21853, SmIn2Ir
mp-21866, Dy2InAu2
mp-21868, Ba2Lu(CuO2)3
mp-21869, Gd(Sn3Ru2)2
mp-21870, Pr2InPd2
mp-21875, Y4GaCo4
mp-21879, Ba2CePtO6
mp-21885, Ca2InPt2
mp-21891, PrSi2Mo2C
mp-21894, LiSn4Ir
mp-21897, YbIn4Pt
mp-21900, Ce(SiIr)2
mp-21901, SrIn4Ir
mp-22008, EuIn4Pd
mp-22009, PbSe
mp-22017, LaIn2Ir
mp-22028, GdMgPt
mp-22031, EuSnPd
mp-22032, TbInIr
mp-22035, KFe2S3
mp-22036, ZrSbPd
mp-22041, HoGeRu
mp-22053, FeCu2GeS4
mp-22056, YIn2Ni
mp-22065, UGePt
mp-22085, DyCuPb
mp-22115, TbSbRh
mp-22116, EuGe2
mp-22131, SmGa4Co
mp-22133, Eu(ZnSi)2
mp-22141, BaIn2
mp-22150, Zr2InCo2
mp-22152, NaFeAs
mp-22162, YbNiSn
mp-22181, Gd(GePd)2
mp-22188, DyCuSn
mp-22197, UNi4Sn
mp-22204, Co2P
mp-22206, TbCoSi
mp-22215, Ba2Y(CuO2)3
mp-22222, HoSiIr
mp-22228, DyCoSn
mp-22231, UTe3
mp-22234, Eu2C(NO)2
mp-22238, TbSnPt
mp-22239, GeRh
mp-22249, CeSbRh
mp-22253, Zn(InS2)2
mp-22256, NdMnSi
mp-22258, HfSiMo
mp-22262, CoMoP
mp-22268, ZrPRu
mp-22270, CoP
mp-22275, YSnPt
mp-22284, SrInPt
mp-22286, Ag5(PbO3)2
mp-22287, NbGeIr
mp-22292, EuCuSb
mp-22293, PrZnSn
mp-22299, TbNiSn
mp-22306, Eu2CuO4
mp-22317, EuGa2
mp-22318, SrAl2
mp-22319, UB12
mp-22322, EuInPd
mp-22338, EuOF
mp-22346, BaGe3Pt
mp-22374, U(CuSi)2
mp-22376, PrNiSn
mp-22386, InAgTe2
mp-22392, SmCuSeF
mp-22394, ThRu3C
mp-22395, KCeSe4
mp-22397, Nd(GeRu)2
mp-22400, MnCu2SnSe4
mp-22418, Sr3(SnIr)4
mp-22419, NdSnPd
mp-22426, ScSiNi
mp-22435, CeBPt3
mp-22438, Ce(SiPt)2
mp-22440, LuSiIr
mp-22441, Ba2MgReO6
mp-22442, Ba2NaOsO6
mp-22451, MoPRu
mp-22453, YbGePt
mp-22475, EuSbAu
mp-22480, GdScSi
mp-22490, Sc3(NiGe)4
mp-22498, CrSb2
mp-22510, FeGe
mp-22511, Ce2MgGe2
mp-22529, SrInAu
mp-22531, Ba2GdNbO6
mp-22562, YS
mp-22585, GeRh2
mp-22595, UAsSe
mp-22596, Ni3(PbS)2
mp-22602, CaIn2Au
mp-22609, Eu(CdP)2
mp-22611, InFe2CuSe4
mp-22612, FeCu2SnSe4
mp-22617, YNiSn
mp-22620, CeZnSbO
mp-22643, Tb3(CoGe2)2
mp-22646, InPd2
mp-22648, FeCu2SnS4
mp-22656, GdInPt2
mp-22662, TiGaPt
mp-22667, UFeS3
mp-22678, Ce2Sb
mp-22683, CeCuSn
mp-22687, BaIn4
mp-22691, InSe
mp-22700, V3Se4
mp-22701, ScFeSi
mp-22707, EuAgSb
mp-22713, Ce2Ni2Sn
mp-22717, CaIn2Pd
mp-22722, NbSiPd
mp-22723, DyInIr
mp-22729, La3(GePd)4
mp-22736, InCuS2
mp-22739, BaFe2S3
mp-22740, CeCuSi
mp-22742, EuSn2Ir
mp-22752, FeSn2
mp-22760, La(MnGe)2
mp-22761, CeCuSn
mp-22765, Eu2Si3Pd
mp-22767, ThGa4Co
mp-22779, YbSnPt
mp-22780, BaIn2Ir
mp-22808, Dy3(AgSn)4
mp-22810, Ce2MgCu2
mp-22811, InCuSe2
mp-22812, In2Ir
mp-22817, TaTe4
mp-22849, BiI3
mp-22850, RuCl3
mp-22853, MoCl3
mp-22855, HgCl2
mp-22857, CrCl2
mp-22860, LaI
mp-22864, Bi2Pt
mp-22870, InBr
mp-22880, FeBr2
mp-22881, CdCl2
mp-22882, YbBr2
mp-22887, EuCl2
mp-22889, ZnCl2
mp-22892, RuBr3
mp-22893, PbI2
mp-22897, HgCl
mp-22939, BiClO
mp-22942, BaBiO3
mp-22945, TeRhCl
mp-22947, K2ReCl6
mp-22950, CsNiCl3
mp-22952, CeClO
mp-22953, YbCuBi
mp-22955, LiIO3
mp-22958, KBrO3
mp-22962, CsTiBr3
mp-22964, PbClF
mp-22965, BiTeI
mp-22967, Li2FeBr4
mp-22968, NaClO4
mp-22969, PbIF
mp-22971, SbSBr
mp-22977, CsVCl3
mp-22978, Rb2MnCl4
mp-22980, Li2CoCl4
mp-22981, TlIO3
mp-22987, BiIO
mp-22992, TiClO
mp-22996, SbSeI
mp-22997, PbBrCl
mp-22998, CrSBr
mp-23003, Ce2BiO2
mp-23005, Bi4Te7Pb
mp-23011, RbClO3
mp-23020, BiSeI
mp-23021, K2ReBr6
mp-23022, KClO3
mp-23034, SrZnCl4
mp-23045, BNCl2
mp-23048, CsMnBr3
mp-23050, GdClO
mp-23053, PbICl
mp-23057, CsLiBr2
mp-23058, NdClO
mp-23062, YCI
mp-23065, CsCu2Cl3
mp-23072, BiBrO
mp-23074, BiOF
mp-23077, Cs2UCl6
mp-23083, KAs4BrO6
mp-23085, Ba2Cu3(ClO2)2
mp-23102, Sr2Cu(ClO)2
mp-23104, Pb2ClOF
mp-23108, Cs2NaUCl6
mp-23126, KAs4IO6
mp-23129, Ba2Cu3(BrO2)2
mp-23133, Sr2Cu3(BrO2)2
mp-23138, SbPbClO2
mp-23143, Ca2Cu(ClO)2
mp-23152, Bi
mp-23160, ThBr4
mp-23161, NpCl4
mp-23162, ZrCl2
mp-23163, CsBi2
mp-23173, HgI2
mp-23176, SbCl5
mp-23177, HgBr
mp-23183, NdCl3
mp-23185, XeF4
mp-23192, HgI2
mp-23194, LaI2
mp-23199, BaCl2
mp-23202, InI
mp-23204, FeCl3
mp-23208, UCl3
mp-23210, MgCl2
mp-23211, PrCl3
mp-23215, ThCl4
mp-23218, AsI3
mp-23219, CuBr2
mp-23223, TiI3
mp-23224, BiTe
mp-23232, FeBr3
mp-23235, UCl4
mp-23244, UI3
mp-23247, ZrBr3
mp-23253, RbBi2
mp-23255, UBr3
mp-23265, GdCl3
mp-23275, TiCl3
mp-23279, KBi2
mp-23281, SbI3
mp-23282, ZrI3
mp-23293, TbCl3
mp-23305, EuI2
mp-23309, ScCl3
mp-23318, BiSCl
mp-23324, BiSBr
mp-23382, Y4CI5
mp-23383, Rb2TeBr6
mp-23431, CsCu2I3
mp-23435, Bi2TeI
mp-23450, RbIO4
mp-23454, CsAgBr2
mp-23471, K2RuCl6
mp-23483, Rb2CrCl4
mp-23486, RbNiCl3
mp-23499, K2SnCl6
mp-23514, BiSI
mp-23516, Cu2Cl2O
mp-23536, SbI3Cl8
mp-23546, Na2UI6
mp-23548, AgBiO3
mp-23556, Rb3Mn2Cl7
mp-23562, KIO4
mp-23684, NaHCO2
mp-23704, NaAlH4
mp-23709, Mg(AlH4)2
mp-23711, MgH2
mp-23713, CaH2
mp-23715, BaH2
mp-23771, SmH3(CO2)3
mp-23794, H4NF
mp-23795, CuH4(OF)2
mp-23803, GaHO2
mp-23807, AlHO2
mp-23837, NdH3(CO2)3
mp-23879, Ca(HO)2
mp-23891, NaHO
mp-23896, LuHCl
mp-23918, NaGaH4
mp-23940, NaHO
mp-24011, CeHSe
mp-24012, HoHSe
mp-24051, ErHCl
mp-24081, ScHCl
mp-24124, NdH2ClO2
mp-24148, LiLa2HO3
mp-24149, LiCe2HO3
mp-24150, LiNd2HO3
mp-24409, PH4I
mp-24433, KHSeO3
mp-25469, AlCl3
mp-27167, Sn2IF3
mp-27171, Hg2P2S7
mp-27175, InOF
mp-27176, NaMnCl3
mp-27178, HgPS3
mp-27179, CsCrBr3
mp-27205, TlCl2
mp-27215, CrI2
mp-27246, LuSBr
mp-27258, P3Au2
mp-27263, Rb2MnBr4
mp-27291, PaCl4
mp-27311, LaCO
mp-27335, NaAlSi
mp-27337, Xe(OF)2
mp-27359, CsScCl3
mp-27360, ReBiO4
mp-27361, Nb(SeCl)2
mp-27362, Nb(SCl)2
mp-27363, BaVSe3
mp-27368, NaLi5Sn4
mp-27373, SnClF
mp-27388, Ba(SiNi)2
mp-27393, AlPd5I2
mp-27396, NiCl2
mp-27401, NaIO4
mp-27410, Sn4P3
mp-27413, Mo8P5
mp-27440, ZrCl
mp-27449, GaTeCl
mp-27480, Sn2OF2
mp-27505, Fe3Sn2
mp-27507, ScCl
mp-27527, Te2AuI
mp-27529, PI3
mp-27536, UBrO2
mp-27552, TlPbI3
mp-27577, Cd2As3I
mp-27606, ZrAs2
mp-27609, U3Fe2Si7
mp-27616, ErSCl
mp-27617, Ce2SeF4
mp-27630, CrCl3
mp-27632, K2TcCl6
mp-27636, Cs2SnI6
mp-27639, IBr
mp-27652, ThI2
mp-27660, Ba(FeS2)2
mp-27661, U2Cl5O2
mp-27677, KCu4S3
mp-27679, LaBr
mp-27689, PH4Br
mp-27690, Sr3Zr2O7
mp-27707, RbCoCl3
mp-27710, CrB4
mp-27729, ICl3
mp-27741, TeAuI
mp-27793, Nb2Se
mp-27797, Li4H4Rh
mp-27816, Ag3BO3
mp-27837, NaHF2
mp-27850, TiNCl
mp-27868, VNCl4
mp-27891, Bi2SO2
mp-27898, Zr3AlN
mp-27922, GeI2
mp-27923, TbCl
mp-27924, TbBr
mp-27927, NbAlO4
mp-27929, LaCl
mp-27945, BiO
mp-27961, Zr3(Cu2Si3)2
mp-27962, CI4
mp-28002, Rb3Mn2Br7
mp-28044, TmCl3
mp-28051, SbTeI
mp-28056, P2Rh3
mp-28073, UCuO4
mp-28122, LiGdCl4
mp-28156, NaGdCl4
mp-28163, K2PdF4
mp-28166, K3BrO
mp-28233, MnCl2
mp-28235, Tl(CuO)2
mp-28282, RbTiCl3
mp-28283, CsTiCl3
mp-28313, NdCl2
mp-28323, Pd2Cl2O
mp-28339, CaPPt
mp-28368, TlAuCl4
mp-28369, GeH3Cl
mp-28383, KNaS
mp-28416, Ce3Sn7
mp-28439, KSc2F7
mp-28448, DyCl3
mp-28458, ErSeI
mp-28483, WBr6
mp-28508, Cd(HO)2
mp-28522, Gd2CBr
mp-28534, CaInBr3
mp-28545, RbLiO
mp-28572, LaBr2
mp-28580, Y2NCl3
mp-28607, UReB3
mp-28614, NaBPt3
mp-28628, Li3FeN2
mp-28629, Ta5B6
mp-28637, Li4FeN2
mp-28651, Cs2IrCl6
mp-28660, Ca2Cu6P5
mp-28665, NdSi2Ru
mp-28683, Ta(ICl)2
mp-28687, U2Cu4As5
mp-28688, SrHgO2
mp-28691, TaTe4I
mp-28698, Na4IrO4
mp-28702, Gd2B3C2
mp-28722, Pt(SCl3)2
mp-28724, Gd2CI
mp-28736, Pr4RuI5
mp-28742, Ca4Ni3C5
mp-28753, NdI2
mp-28755, GdCBr
mp-28760, KRbS
mp-28766, K2TiS3
mp-28770, Ca2FeN2
mp-28786, Zn(BIr)2
mp-28793, Mg2C3
mp-28795, LaSi2Ru
mp-28810, Na2CS3
mp-28835, LiScI3
mp-28838, U3(SiC)2
mp-28875, Hg2P3Cl
mp-28879, Ca5P8
mp-28895, Ba(P2Pd)2
mp-28896, CuBIr
mp-28897, BIrPd
mp-28899, Hg2As3Br
mp-28900, Cd2As3Br
mp-28910, CrS2
mp-28916, Mn3As2
mp-28919, Hf3Te2
mp-28928, DySBr
mp-28929, DySI
mp-28939, U4Te3O4
mp-28944, BiTeCl
mp-28945, Si2NiP3
mp-28952, PdSO4
mp-28954, Tl2PdSe2
mp-28969, Pr2NCl3
mp-28978, Ba2S3
mp-28998, Sn5(BIr3)2
mp-29005, U(Cr3P2)2
mp-29011, BiTePd
mp-29027, TaI2O
mp-29056, La3InC
mp-29057, Nb3SBr7
mp-29069, Na(CuS)4
mp-29076, FeWN2
mp-29083, NaErCl4
mp-29113, Ce3(Al2Si3)2
mp-29135, Zr6CoAs2
mp-29152, Zr2CoP
mp-29153, Zr2NiP
mp-29154, Hf2CoP
mp-29157, Si3P2Pt
mp-29175, Ca2AuN
mp-29190, Te4MoBr
mp-29196, AuCN
mp-29201, TbCd2F8
mp-29206, BaMnSb2
mp-29207, SrMnBi2
mp-29210, Li2Ga
mp-29234, InTeI
mp-29236, InTeBr
mp-29238, TlAgSe
mp-29241, Ca3SnO
mp-29308, Na5Co2S5
mp-29362, GaCuCl4
mp-29365, Li5BiO5
mp-29394, Gd2CCl2
mp-29400, CsFeCl3
mp-29419, Hf(Te2Cl3)2
mp-29422, HfCl4
mp-29443, PI2
mp-29455, Ga4GeO8
mp-29456, Rb2IN3
mp-29465, TaCl4
mp-29474, Na2Ti3Cl8
mp-29481, Rb2WBr6
mp-29496, Pd(SeBr3)2
mp-29510, Hg2TeO3
mp-29520, LiAuI4
mp-29535, CeSiI
mp-29556, Tl2WCl6
mp-29562, Tl2MoCl6
mp-29570, Ca2Si3Ag
mp-29577, CsBrO4
mp-29587, Pr3(BN2)2
mp-29588, Nd3(BN2)2
mp-29607, Ag(TeMo)6
mp-29615, Ca(MnBi)2
mp-29623, SrZnBi2
mp-29624, Mg2Al2Se5
mp-29635, PuGa
mp-29647, SmSb2
mp-29666, Bi2Te2Se
mp-29679, Hg2PCl2
mp-29711, Tl2Te3
mp-29719, LiNiN
mp-29736, YAlGe
mp-29740, Tl(ZnSb)2
mp-29744, RbMnSe2
mp-29748, TePdI
mp-29761, UCO5
mp-29763, RbMnBr3
mp-29770, Na3(Mn2Te3)2
mp-29771, MgC2
mp-29772, YGe3
mp-29806, Cs2PdI6
mp-29821, Gd4B3C4
mp-29829, LiAuS
mp-29862, SnBr2
mp-29868, LiAuC2
mp-29873, Rb2CdCl4
mp-29889, Tl2PdCl4
mp-29896, Y2B3C2
mp-29900, NiGe2
mp-29914, Er7(NiTe)2
mp-29941, Sc2C
mp-29964, La3(TaN3)2
mp-29973, SrN
mp-29986, La2Al2I
mp-30019, ZrCu2Te3
mp-30040, BaCdSb2
mp-30050, Ba(GeRu)2
mp-30060, Sn5(BRh3)2
mp-30089, CsH3O2
mp-30108, P2PbAu2
mp-30110, SrLaI4
mp-30111, BaLaI4
mp-30125, PrTe2Se
mp-30147, ZrTiAs
mp-30151, CuAuSe4
mp-30152, CeSbTe
mp-30156, LiMgN
mp-30175, Ca(AlZn)2
mp-30192, Pr4Se3O4
mp-30195, HoCuP2
mp-30200, Bi2CO5
mp-30207, La3GaBr3
mp-30208, YCuP2
mp-30227, Rb2WCl6
mp-30228, Li4HN
mp-30234, Cs2WCl6
mp-30247, Mg(HO)2
mp-30291, Tb4Se3N2
mp-30302, HfBrN
mp-30307, DyBiRh
mp-30312, Ca2SiIr2
mp-30363, BaAu2
mp-30401, KAu2
mp-30416, Rb4Sn2Au7
mp-30426, BaCdBi2
mp-30427, BaZnBi2
mp-30472, Ca2GaCu2
mp-30485, Ca3Zn
mp-30534, UCuP2
mp-30580, SrGaCu2
mp-30645, HoGa4Ni
mp-30670, Th3Ga2
mp-30770, LuMn5
mp-30805, SrNiSn3
mp-30834, SrSn3Pd
mp-30909, Sm(GaPd)2
mp-30919, LaGa6Pd
mp-30933, ZrBi
mp-30938, PAuS4
mp-30943, MgPSe3
mp-30945, Ga2PdBr8
mp-30946, Ga2PdI8
mp-30965, NaClO2
mp-30985, Tb6Br7
mp-30999, CuCl2
mp-31007, Tb5Br8
mp-31009, Ho(NiB)2
mp-31011, Y2Si2Rh
mp-31015, Ta3SBr7
mp-31017, Ce4B2N5
mp-31029, Nd2Ni5B4
mp-31031, La4PdO7
mp-31040, NbCl4
mp-31049, NdO2
mp-31052, LaBPt2
mp-31059, Ba(AlGe)2
mp-31066, LiUN2
mp-31072, Sc6Te2Rh
mp-31078, CeSiRh2
mp-31080, YAlSi
mp-31081, Sc(MnAl2)4
mp-31082, Li4ZrGe2
mp-31083, PrSi2Ru
mp-31087, Tb2Pd2Pb
mp-31088, Dy2Pd2Pb
mp-31089, Ho2Pd2Pb
mp-31090, Er2Pd2Pb
mp-31091, Lu2Pd2Pb
mp-31093, Dy2CoSi2
mp-31094, Tb2FeSi2
mp-31095, Er2FeSi2
mp-31098, YB2Ir3
mp-31100, CeIr3
mp-31103, Ni3Te2
mp-31136, Lu2NiSn6
mp-31138, MnPd3
mp-31144, Rb3Au7
mp-31152, CaGaPt
mp-31160, CaZnSn
mp-31163, Ce2Si3Rh
mp-31220, AlSiTe3
mp-31221, ThMn12
mp-31284, NaSn5
mp-31294, Sr2In3Rh2
mp-31297, ScInPt
mp-31298, ErSnRh
mp-31361, EuIBr
mp-31363, K2TaCl6
mp-31368, KClO2
mp-31383, Hf6CoBi2
mp-31406, Bi2TeSe2
mp-31433, LuNiSn4
mp-31470, Na4TlAu
mp-31491, Sm(GePd)2
mp-31495, AgTe2Au
mp-31496, Li2Sn2Au
mp-31498, BaPt
mp-31507, Sb2Te4Pb
mp-31509, BaIn
mp-31510, NbCuTe2
mp-32536, WBr4O
mp-32539, W(ClO)2
mp-32686, CoO2
mp-34202, Bi2Te3
mp-34232, K(AsRh)2
mp-36915, K6Fe2O5
mp-504506, RbIn(MoO4)2
mp-504567, Mn3(CuO4)2
mp-504580, VCuO3
mp-504613, Ce3(Si4Ni)2
mp-504708, CsCoCl3
mp-504747, V2Cu3O8
mp-504900, Eu(SbPd)2
mp-504927, CrCuO4
mp-504928, NaCu3Te2
mp-505016, CsMnAs
mp-505034, Cs2MnS2
mp-505105, Cu(HO)2
mp-505110, FeCuO2
mp-505158, CsHoS2
mp-505198, CsCu4Se3
mp-505212, Cs3AuO
mp-505215, Ba(Cu3As)2
mp-505244, FeCuSe2
mp-505249, Th(NiP)2
mp-505259, SmFePO
mp-505262, GdCuSeO
mp-505282, CeGeRh
mp-505292, Nd3(CuGe)4
mp-505313, BaGd2CoO5
mp-505331, CeMnSi
mp-505332, LaFeSi
mp-505373, AsSeI
mp-505502, Ce(PRh)2
mp-505515, Sr(CuSb)2
mp-505531, FeS
mp-505562, CrCuO2
mp-505589, BaYFeCuO5
mp-505611, Sr2Cu2Ni(SO)2
mp-505618, Ba2CuWO6
mp-505632, CsFeS2
mp-505769, Eu(CuSb)2
mp-505804, Ti2CuSb3
mp-505820, NiPS
mp-505824, Cs2PdC2
mp-510086, Ca2InN
mp-510152, DyNiSn
mp-510280, CeAgSb2
mp-510281, FeCuO2
mp-510294, Sr2CuWO6
mp-510408, MnO2
mp-510409, TiSiNi
mp-510421, CrO3
mp-510488, SmMnSbO
mp-510536, MoO2
mp-510557, CsN3
mp-510596, EuCuSeO
mp-510624, SrFeO3
mp-510625, CrCuO2
mp-510657, VCu3O4
mp-510696, Cs4Sn2Au7
mp-540540, PaBr3O
mp-540574, Cs2Hg3I8
mp-540783, OsO4
mp-540803, Sr3(LiSb)4
mp-540884, YCl
mp-540895, CsCo(CO)4
mp-540999, Cs2CuO2
mp-541013, TiI4
mp-541032, Te7As5I
mp-541073, SmSI
mp-541275, Cs2U(Cl2O)2
mp-541310, CaGaGe
mp-541365, LiEuH3
mp-541368, Tl4V2O7
mp-541449, CrGeTe3
mp-541487, TlPt2Se3
mp-541582, ReSe2
mp-541600, RbLaTa2O7
mp-541622, KCu3Te2
mp-541637, Er4I5
mp-541656, AuCl2
mp-541667, Nb(SeBr)2
mp-541753, Cs2WBr6
mp-541754, TiCu2Te3
mp-541785, GePdS3
mp-541837, Bi2Se3
mp-541911, HfNCl
mp-541912, ZrBrN
mp-541937, Zn(InS2)2
mp-542096, CrPS4
mp-542132, YbCuAs2
mp-542172, YbMgGe
mp-542251, LaCdAu
mp-542281, KGdTe4
mp-542314, NdCuSO
mp-542339, CsIn3
mp-542449, Sc5Cl8
mp-542454, Mo2As3
mp-542455, Ca2B5Os3
mp-542475, CsFe2S3
mp-542537, SrIn2Rh
mp-542623, Tl2SnS3
mp-542632, GdNi
mp-542640, GePt
mp-542644, Zn2In2S5
mp-542724, LaNbO4
mp-542752, Ce4Co2Sn5
mp-542757, EuClO
mp-542772, CsAgCl2
mp-542791, ZrNCl
mp-542812, GaTe
mp-542881, Ce3(CuSn)4
mp-542915, TiAl3
mp-543029, La2TeI2
mp-543045, Tl2CO3
mp-545344, NdTe2ClO5
mp-545346, LiGaAs2O7
mp-545369, CuBiTeO
mp-545436, Ba2YbBiO6
mp-545467, Li3(CuO2)2
mp-545479, B4CCl6O
mp-545487, Cs(CO)2
mp-545506, GdZnPO
mp-545525, NbCuO3F
mp-545529, NdBi2ClO4
mp-545539, Pr2BiO2
mp-545548, BaHf(PO4)2
mp-545598, UCdO4
mp-545603, Ba2BiSbO6
mp-545659, Ba2DyBiO6
mp-545728, PrBi2IO4
mp-545730, AgCNO
mp-545735, Ba2NdRuO6
mp-545788, Ba3ZnN2O
mp-545847, LuBi2BrO4
mp-545999, AgSbO3
mp-546082, TmBi2ClO4
mp-546152, SmBi2ClO4
mp-546190, Ag2O3
mp-546266, DyBi2IO4
mp-546279, ScBrO
mp-546285, NbI3O
mp-546292, YbClO
mp-546321, Ba2NdBiO6
mp-546350, TmBi2BrO4
mp-546621, ErBi2BrO4
mp-546625, HoBi2BrO4
mp-546672, LaBi2IO4
mp-546679, Nd2AlNO3
mp-546810, Rb(CO)2
mp-546862, HgPb2(ClO)2
mp-546920, Li(CO)2
mp-547017, LiAlAs2O7
mp-547125, TbBi2ClO4
mp-548479, Cs2U2O7
mp-548609, Tl2Cu(SO3)2
mp-548691, Sr2ZnReO6
mp-549127, HoBi2ClO4
mp-549308, LiGeBO4
mp-549333, NdBi2IO4
mp-549475, TbBi2BrO4
mp-549487, Sr2Cu(IO)2
mp-549490, KNb4O5F
mp-549580, Sr2Cu3(IO2)2
mp-549695, GdBi2ClO4
mp-549709, ErBi2ClO4
mp-549720, NbI2O
mp-549728, DyZnPO
mp-550070, NbBr2O
mp-550081, Ba2LaIrO6
mp-550111, SmBi2BrO4
mp-550117, Sm4Se3O4
mp-550306, YCu2Bi2(SeO2)2
mp-550437, GdTe2ClO5
mp-550514, LaTaN2O
mp-550553, CdBiClO2
mp-550566, EuBi2ClO4
mp-550635, LuBi2IO4
mp-550722, Ba2Tl2CuO6
mp-550805, LuBi2ClO4
mp-550820, SmZnPO
mp-550925, NaScAs2O7
mp-551101, HoBi2IO4
mp-551135, BaCuB2O5
mp-551250, ErBi2IO4
mp-551741, Zn2P2O7
mp-551816, YBi2IO4
mp-551826, NbTlBr4O
mp-551900, PrBi2BrO4
mp-551918, AlBiO3
mp-552008, DyBi2ClO4
mp-552016, YbBi2BrO4
mp-552028, Nd2Ti2S2O5
mp-552056, PbCClO2
mp-552089, Sr2Cu3O5
mp-552098, Bi2SeO2
mp-552177, Ce4Se3O4
mp-552185, AgNO3
mp-552191, Ba2TbBiO6
mp-552292, SmBi2IO4
mp-552454, SrTaNO2
mp-552604, YBi2ClO4
mp-552738, TmBi2IO4
mp-552802, ErU2S3O2
mp-552857, TbBi2IO4
mp-552963, Pr2Ti2S2O5
mp-552992, DyBi2BrO4
mp-553082, PrBi2ClO4
mp-553121, Sm2IO2
mp-553242, NdBi2BrO4
mp-553243, YBi2BrO4
mp-553248, CsLaNb2O7
mp-553278, Nd4Se3O4
mp-553896, K3MoF6
mp-553932, GaPO4
mp-553946, CoAsS
mp-554055, HoS
mp-554061, MnSbS2Br
mp-554072, K2CO3
