mp-7, S
mp-3284, CeSi2Pt
mp-3289, LaMgNi4
mp-3291, AgTe4Au
mp-3292, Tb(CoSi)2
mp-3328, Ho2Al3Si2
mp-3329, Tb(NiGe)2
mp-3342, ZnPS3
mp-3348, LiBIr
mp-3354, Ho3(GePd)4
mp-3376, Sr2SnO4
mp-3388, U(SiRu)2
mp-3398, Ho2Ni2Pb
mp-3421, CuCN2
mp-3433, YMgNi4
mp-3439, SbPO4
mp-3441, Y(SiRh)2
mp-3444, ErTaO4
mp-3462, TmSnAu
mp-3466, PrAlO3
mp-3469, ZrNi2Sb
mp-3471, La2Ni5B4
mp-3474, LaCuO3
mp-3487, Ca3(PO4)2
mp-3497, FeCuS2
mp-3513, Dy2Al3Si2
mp-3521, NaBF4
mp-3522, MgCuSb
mp-3525, Sb2Te2Se
mp-3527, Na3AgO2
mp-3532, CrAgSe2
mp-3535, RbCeS2
mp-3551, TbAgTe2
mp-3553, KTeAu
mp-3555, LaSiIr
mp-3556, Tm2SO2
mp-3603, Ce3(BN2)2
mp-3608, LuAgSn
mp-3613, NaErS2
mp-3618, Sc2FeSi2
mp-3632, YSF
mp-3663, Ta4GaSe8
mp-3679, NiSbS
mp-3682, KCuF3
mp-3698, SrAlSi
mp-3701, Sc(Al2Fe)4
mp-3709, Tb(CoGe)2
mp-3718, ThTeO
mp-3747, Ti3AlC2
mp-3759, MgGeO3
mp-3776, Er2Mo2C3
mp-3779, CrSiTe3
mp-3787, RbFe2S3
mp-3799, GdSF
mp-3804, Sr(PRu)2
mp-3805, Al(FeB)2
mp-3808, K2UO4
mp-3827, KFeS2
mp-3830, NiAsS
mp-3847, DyCoC2
mp-3857, Ba3(PO4)2
mp-3861, Al(MoS2)4
mp-3862, Ca(AlGe)2
mp-3871, Ti2SnC
mp-3881, BaZnF4
mp-3891, EuTl2Pd
mp-3896, Y(SiIr)2
mp-3901, NdNbO4
mp-3927, CaAsAu
mp-3931, SmSF
mp-3933, Mg2PN3
mp-3960, CaUO4
mp-3988, BaCu3O4
mp-3992, PrSF
mp-3998, LaTaO4
mp-4001, BaTaS3
mp-4006, ErPO4
mp-4007, Nd(SiNi)2
mp-4008, ZnGeAs2
mp-4013, Nd(SiRu)2
mp-4024, DyAgTe2
mp-4041, Yb(AlGe)2
mp-4051, AlPO4
mp-4071, Er2(NiB2)3
mp-4077, Cd(CN)2
mp-4079, Sc3AlC
mp-4093, Cu3(PO4)2
mp-4096, CeAlO3
mp-4104, HoPO4
mp-4106, YbSnPd
mp-4120, CaCuAs
mp-4126, KUO3
mp-4139, Nb4GaS8
mp-4150, Ca(MnSb)2
mp-4158, Nd2CuO4
mp-4174, HoNiSb
mp-4179, YbPO4
mp-4181, Pr2CuO4
mp-4189, Dy6FeSb2
mp-4210, Sm2CuO4
mp-4219, CeGeAu
mp-4226, LiCrS2
mp-4227, BaVS3
mp-4230, Sc3TlC
mp-4233, KMnSb
mp-4240, RbCeTe2
mp-4242, U3(CuGe)4
mp-4243, CaIrO3
mp-4247, NaZnSb
mp-4255, Ba(CuS)2
mp-4259, Ca(CoGe)2
mp-4266, KAsF6
mp-4275, Sm(SiPd)2
mp-4276, NaSi2Pd3
mp-4300, Yb2Si2O7
mp-4302, Nd(NiGe)2
mp-4304, SmSnAu
mp-4311, HoAgSn
mp-4316, Sr(NiAs)2
mp-4334, Sm(CoGe)2
mp-4340, TbPO4
mp-4343, Sr(MnAs)2
mp-4344, HoTaO4
mp-4346, SrRuO3
mp-4353, TbAl4Ni
mp-4366, Na2PtC2
mp-4368, SbPdSe
mp-4370, Sr(AsPd)2
mp-4374, UAsS
mp-4384, Nb2CS2
mp-4402, La(CoP)2
mp-4410, Yb(Al2Mo)2
mp-4412, La4Se3O4
mp-4416, Ho6FeSb2
mp-4433, Ce(SiIr)2
mp-4437, NdTe2Se
mp-4439, Pr(SiNi)2
mp-4441, Ca(CuGe)2
mp-4458, Th(MnSi)2
mp-4474, V4GaS8
mp-4478, CaSiPt
mp-4488, Sr(FeAs)2
mp-4494, NaYbS2
mp-4500, ZrNbP
mp-4508, ErInPd
mp-4513, Ho2Ga8Co
mp-4519, KPrO2
mp-4520, Y(CuGe)2
mp-4521, Tb(CuGe)2
mp-4538, TaSnS2
mp-4539, Ho(CuGe)2
mp-4541, NaCuO2
mp-4562, La(GeRh)2
mp-4574, YbTaO4
mp-4579, LaSiRu
mp-4596, Sr2RuO4
mp-4624, TaBO4
mp-4630, Li2RuO3
mp-4632, Sr3(PO4)2
mp-4634, LaNi4B
mp-4656, Y(Al2Fe)4
mp-4661, ScOF
mp-4662, ScOF
mp-4663, Yb2CdPd2
mp-4691, Ag2CO3
mp-4701, CuSnF6
mp-4711, Li2CuO2
mp-4718, NdTaO4
mp-4725, Nd(GePd)2
mp-4728, Cu2GeSe3
mp-4730, Ga2HgSe4
mp-4731, K2UF6
mp-4732, UGa5Co
mp-4744, Ca(NiAs)2
mp-4757, KReO4
mp-4764, Pr2SeO2
mp-4784, CaPtO3
mp-4790, ThGeO4
mp-4805, Gd2SO2
mp-4822, Y(SiPd)2
mp-4823, Na2PdC2
mp-4826, CaCuO2
mp-4829, Na2ThF6
mp-4835, LaCuSi
mp-4836, Yb(MnSb)2
mp-4840, GaCuSe2
mp-4856, HoGa5Co
mp-4861, Sr(CuAs)2
mp-4873, Ce2TeO2
mp-4875, GdTaO4
mp-4881, Er(SiNi)2
mp-4886, NdCuO2
mp-4889, Y(GeRh)2
mp-4895, UTeAs
mp-4901, Y2MgCu2
mp-4908, Y(CoGe)2
mp-4913, LiGa2Rh
mp-4920, Nd(GeRh)2
mp-4952, La2MgNi2
mp-4953, CdGeAs2
mp-4960, Li(PrGe3)2
mp-4962, CoSbS
mp-4964, YSbPt
mp-4973, CeSF
mp-4992, ScCrC2
mp-4999, Nd(CoGe)2
mp-5019, YCo3B2
mp-5058, FeAgS2
mp-5075, Sc3CoC4
mp-5088, NaGdO2
mp-5091, Dy(Al2Fe)4
mp-5104, CaZnF4
mp-5109, Y(NiGe)2
mp-5129, Y(CoSi)2
mp-5131, K2CoS2
mp-5134, LaMg2Ni9
mp-5173, Ce(SiAu)2
mp-5176, Y(SiNi)2
mp-5177, LuSnAu
mp-5186, ScNiSn
mp-5190, ZnSnAs2
mp-5222, ReTeS
mp-5239, NdSiRu
mp-5245, Zn(CN)2
mp-5246, KNbO3
mp-5256, KCuC2
mp-5259, RbAlF4
mp-5273, KPrTe2
mp-5274, ThTi2O6
mp-5284, U(CrSi)2
mp-5304, LaAlO3
mp-5305, CuAsS
mp-5313, HoCo3B2
mp-5323, CeAlO3
mp-5327, Na4UO5
mp-5328, CdPS3
mp-5330, LaAlSi2
mp-5334, YbSbAu
mp-5364, YbBO3
mp-5372, RbFeS2
mp-5400, Th(CrSi)2
mp-5425, RbCuC2
mp-5426, ErB3Mo
mp-5446, Li2PrO3
mp-5456, Sr2CuO3
mp-5459, Nd2TeO2
mp-5461, Rb3TaO8
mp-5466, YbNbO4
mp-5470, AgPS3
mp-5473, CaMgSi
mp-5489, LuTaO4
mp-5495, Ag2PdO2
mp-5498, Ca(MnAs)2
mp-5501, Tl(CoS)2
mp-5513, Tl3VS4
mp-5519, HoGeAu
mp-5528, Ni3(SnS)2
mp-5538, YSnPd2
mp-5558, NaReO4
mp-5561, Ho(CrSi)2
mp-5577, Ce(GeRh)2
mp-5584, Ga(MoSe2)4
mp-5589, Sr(MnP)2
mp-5590, YMgGa
mp-5598, Sm2SO2
mp-5606, AlTlF4
mp-5615, CaAgAs
mp-5628, K(RuO2)4
mp-5632, DyAsO4
mp-5634, NdOF
mp-5659, Ti3SiC2
mp-5660, BaIrO3
mp-5678, ErB2Rh3
mp-5679, CdSO4
mp-5682, Th(SiNi)2
mp-5694, NaHoS2
mp-5699, K2CuF4
mp-5700, Sr2Cu3O5
mp-5702, Cu3SbS4
mp-5723, ZrAlNi
mp-5729, YAgSn
mp-5735, BaTbO3
mp-5745, Nb2CS2
mp-5757, CeB2Rh3
mp-5760, NdSF
mp-5765, Nd(BC)2
mp-5767, DyPO4
mp-5770, AgNO2
mp-5777, BaTiO3
mp-5787, SrCuO2
mp-5792, BaCuSn2
mp-5808, RbNdTe2
mp-5816, UBC
mp-5819, Pr(NiGe)2
mp-5820, Ce(CoP)2
mp-5821, TaAgS3
mp-5836, ThSiO4
mp-5839, TiPO4
mp-5841, RbCuC2
mp-5852, Pr(SiOs)2
mp-5862, CrCuS2
mp-5868, Sr3Ru2O7
mp-5869, Ca2CuO3
mp-5874, TlAgTe
mp-5884, TmPO4
mp-5887, EuNiGe
mp-5899, NdAlO3
mp-5910, CaCuSb
mp-5918, Hf2NiP
mp-5920, LiAlGe
mp-5924, MgSiO3
mp-5925, Nd2MgNi2
mp-5938, SrCu2O3
mp-5948, Th(CuSi)2
mp-5951, CeMnNi4
mp-5957, EuTaO4
mp-5971, YBPt2
mp-5982, La(NiAs)2
mp-5985, HoTaO4
mp-5992, LaB2Ir2C
mp-5999, Sm2Ti2S2O5
mp-6023, Tl2Sn(AsS3)2
mp-6037, Ba2SmSbO6
mp-6070, AgCNO
mp-6074, KRb2TiF6
mp-6092, TbNi2B2C
mp-6098, ErNi2B2C
mp-6102, NdNi2B2C
mp-6114, La3Ni2B2N3
mp-6122, Ba2NdSbO6
mp-6123, Ba2Pd(OF)2
mp-6135, Ba2PrIrO6
mp-6140, PrNi2B2C
mp-6166, PrCuSO
mp-6167, Ba2NdNbO6
mp-6178, Cs2KTiF6
mp-6188, LuNiBC
mp-6191, CeB2Rh2C
mp-6192, Ba2DySbO6
mp-6215, AgHgAsS3
mp-6223, DyNi2B2C
mp-6254, Ba2TbNbO6
mp-6259, SrLi2Ta2O7
mp-6265, Ba2TbSbO6
mp-6278, Zn2Cu(AsO4)2
mp-6286, YbNi2B2C
mp-6304, Sr2GaSbO6
mp-6309, La3Cu4(P2O)2
mp-6328, Na2Ti2Sb2O
mp-6428, Ba2YRuO6
mp-6430, Ba2YReO6
mp-6498, CoCu2GeS4
mp-6504, BaMg(CO3)2
mp-6543, VAg(PSe3)2
mp-6544, LuNi2B2C
mp-6574, Er2C(NO)2
mp-6576, YNi2B2C
mp-6609, Ba2HoRuO6
mp-6621, Ba2ErRuO6
mp-6625, LaAgSO
